30.5	173.5	3.0	1	117.23344266497664	31.826577833686887	1
27.0	184.0	3	1	117.23344266497664	31.826577833686887	0
25	178.5	3.0	1	117.23344266497664	31.826577833686887	1
25	178.5	3.0	1	117.23344266497664	31.826577833686887	1
25	180.0	3	1	117.23344266497664	31.826577833686887	1
25	176.5	3.0	1	117.23344266497664	31.826577833686887	1
34.0	182.5	3.0	1	120.15953308739246	30.271548393336545	1
25	177.5	3.0	1	117.23344266497664	31.826577833686887	1
25	173.5	3.0	1	117.23344266497664	31.826577833686887	1
25	178.5	3.0	1	117.3305404177196	31.73429415631746	1
